short_ref,full_ref,ref_id,study_id,context_raw,action_goals,system_orientation,local_global,experimental_manipulation,manipulation_category,positive_future,appraisal_possible,appraisal_probable,appraisal_controllable,sample_hope_min,sample_hope_max,sample_hope_m,sample_hope_sd,notes,dv_measurement,dv_min,dv_max,dv_mean,dv_sd,eff_min,eff_max,eff_mean,eff_sd,pub_type,study_design,data_type,n,age_m,female_prop,sample_type,Western,educated,industrialised,rich,individualism,looseness,tight_loose_dichotomous,uncertainty_avoidance,power_distance,year,country,gini,coc,democracy_index,regime_type,intractable_conflict,r,hope_type,dv_type,action_type,alignment,hope_n,hope_m,hope_sd,control_n,control_m,control_sd
Cohen-Chen et al. (2019),"Cohen-Chen, S., van Kleef, G. A., Crisp, R. J., & Halperin, E. (2019). Dealing in hope: Does observing hope expressions increase conciliatory attitudes in intergroup conflict? Journal of Experimental Social Psychology, 83, 102–111. https://doi.org/10.1016/j.jesp.2019.04.002",43,S2,Peace/reconciliation in the context of a fictitious conflict scenario,Peace/reconciliation,System compatible,Global,High vs low ingroup leader hope. Participants read that the human leader expressed either hope (‘I feel hopeful about entering into negotiations with the Spesurians based on this proposal’) or positive expectations (‘I have positive expectations about entering into negotiations based on this proposal’).,Expressions of ingroup hope vignette,1,1,,,1,6,4.36,0.94,,scale,1,6,4.08,1.19,,,,,published,experimental,experimental,64,34.03,36,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for harmony,intentions,Conventional,Aligned,32,4.37,0.93,32,3.78,1.27
Bang et al. (2021),"Bang, C. C., Lee, J., & Rao, H. R. (2021). The Egyptian protest movement in the twittersphere: An investigation of dual sentiment pathways of communication. International Journal of Information Management, 58, 102328.",44,S1,"Anti-authoritarian, pro-democracy, socioeconomic justice movement",Anti-authoritarian/pro-democracy,System challenging,Local,,,,,,,,,,,,,,,,,,,,,published,observational,correlational,10716,,,Twitter posts,0,1,0,0,13,3.9,Tight cultures,80,55,2021,Egypt,0.285,31.92,2.93,Authoritarian regime,0,0.088,Hope for social change,attitudinal support,Conventional,Aligned,,,,,,
Ponnen (2021),"Ponnen, J. (2021). ""I have a dream"": The role of utopian thinking on collective action for racial justice when the movement is failing. [Unpublished honour thesis]. Flinders University, Adelaide.",45,S1,Racial equality in the context of Black Lives Matter in the US,Racial/ethnic equality,System challenging,Local,,,,,,,1,7,4.8496,1.31755,,scale,1,7,4.3148,1.54645,,,,,unpublished,experimental,correlational,396,41.62,50.8,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,0.179,Hope for social change,intentions,Conventional,Aligned,,,,,,
Ponnen (2021),"Ponnen, J. (2021). ""I have a dream"": The role of utopian thinking on collective action for racial justice when the movement is failing. [Unpublished honour thesis]. Flinders University, Adelaide.",45,S1,Racial equality in the context of Black Lives Matter in the US,Racial/ethnic equality,System challenging,Local,"Positive future vs present day imagination task. In the utopian thinking condition, participants were asked to ‘imagine a future in which the movement to achieve equality and justice for People of Color in the United States has achieved its goals. Visualise this future world.’ Participants allocated to the control condition were asked to ‘think about the present-day realities for the movement to bring about racial justice and equality for People of Color. Visualise this current world.’",Utopian thinking task,1,,,,1,7,4.8496,1.31755,,scale,1,7,4.3148,1.54645,,,,,unpublished,experimental,experimental,396,41.62,50.8,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,201,4.4,1.54,195,4.23,1.55
Ponnen (2021),"Ponnen, J. (2021). ""I have a dream"": The role of utopian thinking on collective action for racial justice when the movement is failing. [Unpublished honour thesis]. Flinders University, Adelaide.",45,S1,Racial equality in the context of Black Lives Matter in the US,Racial/ethnic equality,System challenging,Local,,,,,,,1,7,4.8496,1.31755,,scale,1,7,2.1768,1.45882,,,,,unpublished,experimental,correlational,396,41.62,50.8,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,-0.005,Hope for social change,intentions,Radical,Aligned,,,,,,
Ponnen (2021),"Ponnen, J. (2021). ""I have a dream"": The role of utopian thinking on collective action for racial justice when the movement is failing. [Unpublished honour thesis]. Flinders University, Adelaide.",45,S1,Racial equality in the context of Black Lives Matter in the US,Racial/ethnic equality,System challenging,Local,"Positive future vs present day imagination task. In the utopian thinking condition, participants were asked to ‘imagine a future in which the movement to achieve equality and justice for People of Color in the United States has achieved its goals. Visualise this future world.’ Participants allocated to the control condition were asked to ‘think about the present-day realities for the movement to bring about racial justice and equality for People of Color. Visualise this current world.’",Utopian thinking task,1,,,,1,7,4.8496,1.31755,,scale,1,7,2.1768,1.45882,,,,,unpublished,experimental,experimental,396,41.62,50.8,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,,Hope for social change,intentions,Radical,Aligned,201,2.35,1.63,195,1.1,1.23
Stevens (2019),"Stevens, J. (2019). Does utopian thinking inspire collective action against economic injustice? The role of system justification and an emerging group consciousness. [Unpublished honour thesis]. Flinders University, Adelaide. ",46,S1,Collective action against economic inequality in the US,Socioeconomic justice,System challenging,Local,,,,,,,1,7,3.82,1.922,,scale,1,7,3.85,1.65,,,,,unpublished,experimental,correlational,196,39.84,53.57142857,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.04,Hope for social change,intentions,Conventional,Aligned,,,,,,
Stevens (2019),"Stevens, J. (2019). Does utopian thinking inspire collective action against economic injustice? The role of system justification and an emerging group consciousness. [Unpublished honour thesis]. Flinders University, Adelaide. ",46,S1,Collective action against economic inequality in the US,Socioeconomic justice,System challenging,Local,"Positive future thinking vs present day imagination task. In the utopian thinking condition, participants were asked to: “Think about a future USA in which economic inequality has been significantly reduced. Picture that USA and think about the implications of this state of economic inequality on individuals and for society.” Conversely, in the present-thinking condition, participants were asked to: “Think about present-day USA and the current state of affairs regarding economic inequality. Picture that USA and think about the implications of this state of economic inequality on individuals and for society.”",Utopian thinking task,1,,,,1,7,3.82,1.922,,scale,1,7,3.85,1.65,,,,,unpublished,experimental,experimental,196,39.84,53.57142857,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,97,3.75,1.67,99,3.95,1.64
Stevens (2019),"Stevens, J. (2019). Does utopian thinking inspire collective action against economic injustice? The role of system justification and an emerging group consciousness. [Unpublished honour thesis]. Flinders University, Adelaide. ",46,S1,Collective action against economic inequality in the US,Socioeconomic justice,System challenging,Local,,,,,,,1,7,3.82,1.922,,dichotomous,0,1,,,,,,,unpublished,experimental,correlational,196,39.84,53.57142857,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,-0.015,Hope for social change,behavioural measure,Conventional,Aligned,,,,,,
Stevens (2019),"Stevens, J. (2019). Does utopian thinking inspire collective action against economic injustice? The role of system justification and an emerging group consciousness. [Unpublished honour thesis]. Flinders University, Adelaide. ",46,S1,Collective action against economic inequality in the US,Socioeconomic justice,System challenging,Local,,,,,,,1,7,3.82,1.922,"Contingency table converted to pearson r using esc package - more clicks in the control condition, but confidence interval included zero.",dichotomous,0,1,,,,,,,unpublished,experimental,correlational,196,39.84,53.57142857,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,-0.2898,Hope for social change,behavioural measure,Conventional,Aligned,,,,,,
Fighera (2020),"Fighera, D. (2020). ""A dream you dream together is reality"": The effect of co-created utopias on collective action to avert climate change. [Unpublished honour thesis]. Flinders University, Adelaide.",47,S1,Co-created utopias and climate action,Environmental protection,System challenging,Global,,,,,,,1,7,4.6135,1.4898,,scale,1,7,4.59,1.25,,,,,unpublished,experimental,correlational,229,38.87,53.27510917,panel,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,-0.007,State hope,intentions,Conventional,Aligned,,,,,,
Fighera (2020),"Fighera, D. (2020). ""A dream you dream together is reality"": The effect of co-created utopias on collective action to avert climate change. [Unpublished honour thesis]. Flinders University, Adelaide.",47,S1,Co-created utopias and climate action,Environmental protection,System challenging,Global,"Utopian thinking vs present-thinking task. In the utopian task condition, participants were instead asked to, “think about a world in which the climate crisis has been significantly addressed; to visualise this world, and think about the implications of this state of affairs for people and societies”. In the present task condition, participants were asked to, “think about the current state of society with regard to the climate crisis we presently face; to visualise this world, and think about the implications of this state of affairs for people and societies”.",Utopian thinking task,1,,,,1,7,4.6135,1.4898,,scale,1,7,4.59,1.25,,,,,unpublished,experimental,experimental,68,38.87,53.27510917,panel,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,,State hope,intentions,Conventional,Aligned,37,4.42,1.32,31,4.76,1.51
Fraser (unpublished),"Fraser, A. M. (2021). Longitudinal Associations of Hope and Prosocial and Civic Behaviors in Emerging Adulthood (Doctoral dissertation, Arizona State University).",48,S1,General civic engagement of US college young adults,General political engagement,System compatible,Global,,,,,,,1,7,6.423333333,1.22,,scale,1,8,3.37,0.893333333,,,,,unpublished,longitudinal,correlational,217,19.2,64,panel,1,1,1,1,60,58,Tight cultures,40,48,2021,United States,0.397,70.61,7.85,Flawed democracy,0,0.323,Trait hope,attitudinal support,Conventional,Aligned,,,,,,
Iyer & Achia (2020),"Iyer, A., & Achia, T. (2021). Mobilized or marginalized? Understanding low-status groups’ responses to social justice efforts led by high-status groups. Journal of Personality and Social Psychology, 120(5), 1287–1316. https://doi.org/10.1037/pspi0000325",49,S3,Gender equality,Gender equality,System challenging,Global,,,,,,,1,6,4.065,1.37,,scale,1,7,4.07,1.375,,,,,published,experimental,correlational,405,37.22,100,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2020,United Kingdom,0.327,82.69,8.54,Full democracy,0,0.47,State hope,intentions,Conventional,Aligned,,,,,,
Iyer & Achia (2020),"Iyer, A., & Achia, T. (2021). Mobilized or marginalized? Understanding low-status groups’ responses to social justice efforts led by high-status groups. Journal of Personality and Social Psychology, 120(5), 1287–1316. https://doi.org/10.1037/pspi0000325",49,S3,Gender equality,Gender equality,System challenging,Global,"Experimental instructions don’t describe a future outcome per se – just that an NFP org develops policies and programs to improve opportunities for women (implying that this isn’t the current reality and the org is working towards this desirable future outcome). Manipulates leadership composition of NFP (majority female vs majority male) and whether leaders have a higher awareness of inequality (high awareness condition) or do not provide any information about this (control condition). Could be perceived as manipulating possibility, in that leaders in the high awareness are ‘well-equipped to understand the challenges facing women and develop appropriate policies and programs to address these barriers.” So, their awareness increases the possibility that inequality could be addressed by the development of appropriate/effective programs? Also manipulates leadership composition of NFP (majority female vs majority male). ",Possibility/impossibility of change vignette,1,1,,,1,6,4.065,1.37,,scale,1,7,4.07,1.375,,,,,published,experimental,experimental,213,37.22,100,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2020,United Kingdom,0.327,82.69,8.54,Full democracy,0,,State hope,intentions,Conventional,Aligned,107,3.9,1.37,106,3.72,1.34
Iyer & Achia (2020),"Iyer, A., & Achia, T. (2021). Mobilized or marginalized? Understanding low-status groups’ responses to social justice efforts led by high-status groups. Journal of Personality and Social Psychology, 120(5), 1287–1316. https://doi.org/10.1037/pspi0000325",49,S4,Gender equality,Gender equality,System challenging,Global,,,,,,,1,6,3.535,1.24,,scale,1,7,3.93,1.55,,,,,published,experimental,correlational,555,35.34,100,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2020,United Kingdom,0.327,82.69,8.54,Full democracy,0,0.5,State hope,intentions,Conventional,Aligned,,,,,,
Iyer & Achia (2020),"Iyer, A., & Achia, T. (2021). Mobilized or marginalized? Understanding low-status groups’ responses to social justice efforts led by high-status groups. Journal of Personality and Social Psychology, 120(5), 1287–1316. https://doi.org/10.1037/pspi0000325",49,S2,Racial equality,Racial/ethnic equality,System challenging,Global,,,,,,,1,6,3.425,1.105,,scale,1,7,3.79,1.365,,,,,published,experimental,correlational,216,31,55.6,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2020,United Kingdom,0.327,82.69,8.54,Full democracy,0,0.39,State hope,intentions,Conventional,Aligned,,,,,,
Iyer & Achia (2020),"Iyer, A., & Achia, T. (2021). Mobilized or marginalized? Understanding low-status groups’ responses to social justice efforts led by high-status groups. Journal of Personality and Social Psychology, 120(5), 1287–1316. https://doi.org/10.1037/pspi0000325",49,S1,Gender equality,Gender equality,System challenging,Global,,,,,,,1,6,3.5,1.26,,scale,1,7,3.505,1.585,,,,,published,experimental,correlational,198,39.58,47.97979798,panel,1,1,1,1,60,58,Tight cultures,40,48,2020,United States,0.4,71.58,7.92,Flawed democracy,0,0.52,State hope,intentions,Conventional,Aligned,,,,,,
Stevenson et al. (2018),"Stevenson, K. T., King, T. L., Selm, K. R., Peterson, M. N., & Monroe, M. C. (2018). Framing climate change communication to prompt individual and collective action among adolescents from agricultural communities. Environmental Education Research, 24(3), 365-377.",50,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,5,2.42,1.08,,scale,1,5,3.87,1.14,,,,,published,correlational,correlational,950,,47.4,high school students,1,1,1,1,60,58,Tight cultures,40,48,2018,United States,0.418,74.29,7.96,Flawed democracy,0,0.03,State hope,intentions,Consumer,Aligned,,,,,,
Stevenson et al. (2018),"Stevenson, K. T., King, T. L., Selm, K. R., Peterson, M. N., & Monroe, M. C. (2018). Framing climate change communication to prompt individual and collective action among adolescents from agricultural communities. Environmental Education Research, 24(3), 365-377.",50,S1,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,1,5,2.42,1.08,,scale,1,5,3.87,1.14,,,,,published,correlational,correlational,950,,47.4,high school students,1,1,1,1,60,58,Tight cultures,40,48,2018,United States,0.418,74.29,7.96,Flawed democracy,0,0.027,State hope,attitudinal support,Conventional,Aligned,,,,,,
Carmona-Moya et al. (2021),"Carmona-Moya, B., Calvo-Salguero, A., Aguilar-Luzón, M.-C., Carmona-Moya, B., Calvo-Salguero, A., & Aguilar-Luzón, M.-C. (2021). EIMECA: A proposal for a model of environmental collective action. Sustainability, 13(11). https://doi.org/10.3390/su13115935",51,S2,Climate action,Environmental protection,System challenging,Global,,,,,,,1,5,2.28,0.94,,scale,0,4,1.72,0.95,1,5,4.55,0.65,published,correlational,correlational,720,28.56,68.5,other convenience,1,1,1,1,67,83.9,Loose cultures,57,86,2021,Spain,0.339,64.29,7.94,Flawed democracy,0,0.375,Hope for social change,self-reported behaviour,Conventional,Aligned,,,,,,
Bury et al. (2020),"Bury, S. M., Wenzel, M., & Woodyatt, L. (2020). Against the odds: Hope as an antecedent of support for climate change action. British Journal of Social Psychology, 59(2), 289–310. https://doi.org/10.1111/bjso.12343",52,S1,Climate action,Environmental protection,System compatible,Global,,,,,,,1,7,4.41,1.965,Means/correlations averaged across two kinds of hope,scale,1,7,5.49,1.34,,,,,published,correlational,correlational,147,33.94,61.2244898,other convenience,1,1,1,1,73,,,51,38,2020,Australia,0.338,80.3,8.96,Full democracy,0,0.45,Hope for social change,attitudinal support,Consumer,Aligned,,,,,,
Bury et al. (2020),"Bury, S. M., Wenzel, M., & Woodyatt, L. (2020). Against the odds: Hope as an antecedent of support for climate change action. British Journal of Social Psychology, 59(2), 289–310. https://doi.org/10.1111/bjso.12343",52,S2,Climate action,Environmental protection,System compatible,Global,,,,,,,1,7,5.03,1.65,,scale,1,7,4.53,1.39,,,,,published,correlational,correlational,324,35.65,70.98765432,other convenience,1,1,1,1,73,,,51,38,2020,Australia,0.338,80.3,8.96,Full democracy,0,0.51,Hope for social change,attitudinal support,Consumer,Aligned,,,,,,
Daysh et al. (2024),"Daysh, S., Thomas, E. F., Lizzio-Wilson, M., Bird, L., & Wenzel, M. (2024). “The future will be green, or not at all”: How positive (utopian) and negative (dystopian) thoughts about the future shape collective climate action. Global Environmental Psychology, 2, 1–28. https://doi.org/10.5964/gep.11153",53,S1,Climate action,Environmental protection,System compatible,Global,,,,,,,1,7,3.5,1.768,Correlation between single item hope (from OSF data file) and collective action intentions,scale,1,7,3.8,1.21,,,,,published,experimental,correlational,413,39.63,48,panel,1,1,1,1,60,58,Tight cultures,40,48,2024,United States,0.418,72.19,7.85,Flawed democracy,0,0.217,Hope for social change,intentions,Conventional,Aligned,,,,,,
Daysh et al. (2024),"Daysh, S., Thomas, E. F., Lizzio-Wilson, M., Bird, L., & Wenzel, M. (2024). “The future will be green, or not at all”: How positive (utopian) and negative (dystopian) thoughts about the future shape collective climate action. Global Environmental Psychology, 2, 1–28. https://doi.org/10.5964/gep.11153",53,S1,Climate action,Environmental protection,System compatible,Global,"Utopian thinking vs dystopian thinking vs passive control (only utopian vs control recorded here). Participants in the utopian thinking condition were instructed to ""imagine a positive future, where climate change has been significantly addressed."" Participants in the control condition skipped straight to the outcome measures.",Utopian thinking task,,,,,1,7,3.37,1.58,Single-item hope (from OSF data) hope condition (utopia) vs control condition (not dystopia),scale,1,7,2.545333333,1.21611,,,,,published,experimental,experimental,288,39.63,48,panel,1,1,1,1,60,58,Tight cultures,40,48,2024,United States,0.418,72.19,7.85,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,134,4.0083,1.17783,154,3.6277,1.16115
Daysh et al. (2024),"Daysh, S., Thomas, E. F., Lizzio-Wilson, M., Bird, L., & Wenzel, M. (2024). “The future will be green, or not at all”: How positive (utopian) and negative (dystopian) thoughts about the future shape collective climate action. Global Environmental Psychology, 2, 1–28. https://doi.org/10.5964/gep.11153",53,S2,Climate action,Environmental protection,System compatible,Global,,,,,,,1,7,3.25,1.679,Correlation between single item hope (from OSF data file) and collective action intentions,scale,1,7,3.7,1.41,,,,,published,experimental,correlational,444,39.8,44.4,panel,1,1,1,1,60,58,Tight cultures,40,48,2024,United States,0.418,72.19,7.85,Flawed democracy,0,0.175,Hope for social change,intentions,Conventional,Aligned,,,,,,
Daysh et al. (2024),"Daysh, S., Thomas, E. F., Lizzio-Wilson, M., Bird, L., & Wenzel, M. (2024). “The future will be green, or not at all”: How positive (utopian) and negative (dystopian) thoughts about the future shape collective climate action. Global Environmental Psychology, 2, 1–28. https://doi.org/10.5964/gep.11153",53,S2,Climate action,Environmental protection,System compatible,Global,"Utopian thinking vs dystopian thinking vs active control (only utopian vs control recorded here). Participants in the utopian thinking condition were instructed to ""imagine a positive future, where climate change has been significantly addressed."" Participants in the active control engaged in an imagination task on the state of the earth in relation to climate change.",Utopian thinking task,,,,,1,7,3.363333333,1.675,Single-item hope (from OSF data) hope condition (utopia) vs control condition (average of active and passive control),scale,1,7,3.635266667,1.413436667,,,,,published,experimental,experimental,221,39.8,44.4,panel,1,1,1,1,60,58,Tight cultures,40,48,2024,United States,0.418,72.19,7.85,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,107,3.6227,1.4279,228,3.64155,1.406205
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,scale,1,7,5.1382,0.98766,,,,,published,longitudinal,correlational,258,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,0.298,State hope,intentions,Consumer,Aligned,,,,,,
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,scale,1,7,4.5378,1.15142,,,,,published,longitudinal,correlational,258,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,0.392,State hope,intentions,Conventional,Aligned,,,,,,
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,,,,,,,,,,published,longitudinal,correlational,258,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,-0.012,State hope,behavioural measure,Consumer,Aligned,,,,,,
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,,,,,,,,,,published,longitudinal,correlational,258,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,0.163,State hope,behavioural measure,Consumer,Aligned,,,,,,
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,scale,1,7,5.4616,0.94765,,,,,published,longitudinal,correlational,258,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,0.061,State hope,self-reported behaviour,Consumer,Aligned,,,,,,
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,scale,1,7,2.2644,0.89819,,,,,published,longitudinal,correlational,90,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,0.168,State hope,self-reported behaviour,Conventional,Aligned,,,,,,
Hamann & Reese (2020),"Hamann, K. R. S., & Reese, G. (2020). My influence on the world (of others): Goal efficacy beliefs and efficacy affect predict private, public, and activist pro-environmental behavior. Journal of Social Issues, 76(1), 35–53. https://doi.org/10.1111/josi.12369",54,S1,Climate change mitigation,Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,scale,1,7,5.4616,0.94765,,,,,published,longitudinal,correlational,90,21.66,72.58687259,student,1,1,1,1,79,82.9,Loose cultures,35,65,2020,Germany,0.325,85.73,8.67,Full democracy,0,0.351,State hope,self-reported behaviour,Consumer,Aligned,,,,,,
Hamann et al. (2021),"Hamann, K. R., Holz, J. R., & Reese, G. (2021). Coaching for a sustainability transition: Empowering student-led sustainability initiatives by developing skills, group identification, and efficacy beliefs. Frontiers in Psychology, 12, 623972.",55,S1,"Sustainability, green energy transition",Environmental protection,System compatible,Global,,,,,,,1,7,3.05,1.097,,scale,1,7,2.2644,0.89819,,,,,published,longitudinal,correlational,310,23.43,61.83,student,1,1,1,1,79,82.9,Loose cultures,35,65,2021,Germany,0.336,84.78,8.67,Full democracy,0,0.256,State hope,self-reported behaviour,Conventional,Aligned,,,,,,
Doroshenko & Tu (2022),"Doroshenko, L., & Tu, F. (2022). Like, share, comment, and repeat: Far-right messages, emotions, and amplification in social media. Journal of Information Technology & Politics, 20(3). https://doi.10.1080/19331681.2022.2097358",56,S1,Online activism in relation to far-right vs centrist political messages,General political engagement,System compatible,Global,,,,,,,1,7,3.17,2.23,Standardised beta converted to r using esc package,scale,1,7,2.23,2.16,,,,,published,experimental,correlational,303,19.3,60.7,student,0,1,0,0,55,56.9,Tight cultures,92,95,2022,Ukraine,0.256,34.01,5.42,Hybrid regime,0,0.5827,State hope,intentions,Conventional,Aligned,,,,,,
Doroshenko & Tu (2022),"Doroshenko, L., & Tu, F. (2022). Like, share, comment, and repeat: Far-right messages, emotions, and amplification in social media. Journal of Information Technology & Politics, 20(3). https://doi.10.1080/19331681.2022.2097358",56,S1,Online activism in relation to far-right vs centrist political messages,General political engagement,System compatible,Global,,,,,,,1,7,3.17,2.23,Standardised beta converted to r using esc package,scale,1,7,3.07,2.38,,,,,published,experimental,correlational,303,19.3,60.7,student,0,1,0,0,55,56.9,Tight cultures,92,95,2022,Ukraine,0.256,33.19,5.42,Hybrid regime,0,0.4518,State hope,intentions,Conventional,Aligned,,,,,,
Doroshenko & Tu (2022),"Doroshenko, L., & Tu, F. (2022). Like, share, comment, and repeat: Far-right messages, emotions, and amplification in social media. Journal of Information Technology & Politics, 20(3). https://doi.10.1080/19331681.2022.2097358",56,S1,Online activism in relation to far-right vs centrist political messages,General political engagement,System compatible,Global,,,,,,,1,7,3.17,2.23,Standardised beta converted to r using esc package,scale,1,7,1.63,2.05,,,,,published,experimental,correlational,303,19.3,60.7,student,0,1,0,0,55,56.9,Tight cultures,92,95,2022,Ukraine,0.256,33.19,5.42,Hybrid regime,0,0.5747,State hope,intentions,Conventional,Aligned,,,,,,
Fasoli et al. (2025),"Fasoli, F., Hopkins-Doyle, A., & Guizzo, F. (2025). Thank you for sharing: Body-positive and humour parody images increase women's body satisfaction and predict collective action intentions via gratitude. Sex Roles, 91(7), 48. https://doi.org/10.1007/s11199-025-01593-3",57,S1a,Unrealistic female body expectations,Gender equality,System challenging,Global,,,,,,,0,100,55.90175,25.49985,Correlation of hope with collective action to stop unrealistic body ideals averaged across timepoints,scale,1,5,2.895,1.225,,,,,published,longitudinal,correlational,126,26.8,100,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2025,United Kingdom,0.324,,8.34,Full democracy,0,-0.027,Hope for social change,intentions,Conventional,Aligned,,,,,,
Fasoli et al. (2025),"Fasoli, F., Hopkins-Doyle, A., & Guizzo, F. (2025). Thank you for sharing: Body-positive and humour parody images increase women's body satisfaction and predict collective action intentions via gratitude. Sex Roles, 91(7), 48. https://doi.org/10.1007/s11199-025-01593-3",57,S1a,Unrealistic female body expectations,Gender equality,System challenging,Global,,,,,,,0,100,55.90175,25.49985,Correlation of hope with collective action to promote body diversity averaged across timepoints,scale,1,5,3.585,1.01,,,,,published,longitudinal,correlational,126,26.8,100,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2025,United Kingdom,0.324,,8.34,Full democracy,0,0.169,Hope for social change,intentions,Conventional,Aligned,,,,,,
Fasoli et al. (2025),"Fasoli, F., Hopkins-Doyle, A., & Guizzo, F. (2025). Thank you for sharing: Body-positive and humour parody images increase women's body satisfaction and predict collective action intentions via gratitude. Sex Roles, 91(7), 48. https://doi.org/10.1007/s11199-025-01593-3",57,S1b,Unrealistic female body expectations,Gender equality,System challenging,Global,,,,,,,0,100,55.18715,24.3814,Correlation of hope with collective action to stop unrealistic body ideals averaged across timepoints,scale,1,5,3.005,1.22,,,,,published,longitudinal,correlational,126,26.72,100,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2025,United Kingdom,0.324,,8.34,Full democracy,0,-0.064,Hope for social change,intentions,Conventional,Aligned,,,,,,
