short_ref,full_ref,ref_id,study_id,context_raw,action_goals,system_orientation,local_global,experimental_manipulation,manipulation_category,positive_future,appraisal_possible,appraisal_probable,appraisal_controllable,sample_hope_min,sample_hope_max,sample_hope_m,sample_hope_sd,notes,dv_measurement,dv_min,dv_max,dv_mean,dv_sd,eff_min,eff_max,eff_mean,eff_sd,pub_type,study_design,data_type,n,age_m,female_prop,sample_type,Western,educated,industrialised,rich,individualism,looseness,tight_loose_dichotomous,uncertainty_avoidance,power_distance,year,country,gini,coc,democracy_index,regime_type,intractable_conflict,r,hope_type,dv_type,action_type,alignment,hope_n,hope_m,hope_sd,control_n,control_m,control_sd
Furlong & Vignoles (2021),"Furlong, C., & Vignoles, V. L. (2021). Social identification in collective climate activism: Predicting participation in the environmental movement, Extinction Rebellion. Identity, 21(1), 20–35. https://doi.org/10.1080/15283488.2020.1856664",7,S1,Climate action,Environmental protection,System challenging,Global,,,,,,,1,7,5.47,0.9,,scale,0,2,0.7,0.35,1,7,5.54,0.96,published,correlational,correlational,203,46.77,57.14285714,activist,1,1,1,1,76,89.3,Loose cultures,35,35,2021,United Kingdom,0.324,81.54,8.1,Full democracy,0,0.26,Hope for social change,self-reported behaviour,Radical,Aligned,,,,,,
Feldman & Hart (2016),"Feldman, L., & Hart, P. S. (2016). Using political efficacy messages to increase climate activism: The mediating role of emotions. Science Communication, 38(1), 99–127. https://doi.org/10.1177/1075547015617941",8,S1,Climate action,Environmental protection,System challenging,Global,,,,,,,1,7,3.83,1.63,,scale,1,7,3.34,1.66,,,,,published,correlational,correlational,425,44.8,56,panel,1,1,1,1,60,58,Tight cultures,40,48,2016,United States,0.413,73,7.98,Flawed democracy,0,0.295,State hope,intentions,Conventional,Aligned,,,,,,
Feldman & Hart (2016),"Feldman, L., & Hart, P. S. (2016). Using political efficacy messages to increase climate activism: The mediating role of emotions. Science Communication, 38(1), 99–127. https://doi.org/10.1177/1075547015617941",8,S1,Climate action,Environmental protection,System challenging,Global,,,,,,,1,7,3.83,1.63,dv mean represents proportion who clicked,dichotomous,0,1,12.4,,,,,,published,correlational,correlational,425,44.8,56,panel,1,1,1,1,60,58,Tight cultures,40,48,2016,United States,0.413,73,7.98,Flawed democracy,0,0.128,State hope,self-reported behaviour,Conventional,Aligned,,,,,,
Cohen-Chen & van Zomeren (2018),"Cohen-Chen, S., & Van Zomeren, M. (2018). Yes we can? Group efficacy beliefs predict collective action, but only when hope is high. Journal of Experimental Social Psychology, 77, 50–59. https://doi.org/10.1016/j.jesp.2018.03.016",9,S1,Israeli peace/reconciliation towards Palestinians,Peace/reconciliation,System compatible,Local,,,,,,,1,6,3.33,1.34,,scale,1,6,2.47,1.01,1,6,3.41,1.14,published,correlational,correlational,103,42.5,46,panel,1,1,1,1,56,,,13,81,2018,Israel,0.386,62.83,7.79,Flawed democracy,1,0.54,Hope for harmony,intentions,Conventional,Aligned,,,,,,
Cohen-Chen & van Zomeren (2018),"Cohen-Chen, S., & Van Zomeren, M. (2018). Yes we can? Group efficacy beliefs predict collective action, but only when hope is high. Journal of Experimental Social Psychology, 77, 50–59. https://doi.org/10.1016/j.jesp.2018.03.016",9,S2,"Opposition to NHS privatisation in the UK, socioeconomic/public services",Socioeconomic justice,System challenging,Local,,,,,,,1,6,4.07,0.92,,scale,1,6,3.62,1.24,1,6,4.05,1.23,published,experimental,correlational,196,35.98,51.5,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2018,United Kingdom,0.337,84.38,8.53,Full democracy,0,0.48,Hope for harmony,intentions,Conventional,Aligned,,,,,,
Cohen-Chen & van Zomeren (2018),"Cohen-Chen, S., & Van Zomeren, M. (2018). Yes we can? Group efficacy beliefs predict collective action, but only when hope is high. Journal of Experimental Social Psychology, 77, 50–59. https://doi.org/10.1016/j.jesp.2018.03.016",9,S2,"Opposition to NHS privatisation in the UK, socioeconomic/public services",Socioeconomic justice,System challenging,Local,Hope was manipulated through possibility: high vs low possibility of reversing and changing policies and regulatory policies related to NHS privatisation.,Possibility/impossibility of change vignette,,1,,,1,6,4.07,0.92,,scale,1,6,3.62,1.24,1,6,4.05,1.23,published,experimental,experimental,196,35.98,51.5,panel,1,1,1,1,76,89.3,Loose cultures,35,35,2018,United Kingdom,0.337,84.38,8.53,Full democracy,0,,Hope for harmony,intentions,Conventional,Aligned,95,3.58,1.25,101,3.65,1.25
Cohen-Chen & van Zomeren (2018),"Cohen-Chen, S., & Van Zomeren, M. (2018). Yes we can? Group efficacy beliefs predict collective action, but only when hope is high. Journal of Experimental Social Psychology, 77, 50–59. https://doi.org/10.1016/j.jesp.2018.03.016",9,S3,Collective action in support of gun control,Individual rights and freedoms,System challenging,Local,,,,,,,1,6,4.33,1.06,,scale,1,6,3.26,1.46,1,6,4.36,1.22,published,experimental,correlational,249,37.44,52,panel,1,1,1,1,60,58,Tight cultures,40,48,2018,United States,0.418,74.29,7.96,Flawed democracy,0,0.33,Hope for social change,intentions,Conventional,Aligned,,,,,,
Cohen-Chen & van Zomeren (2018),"Cohen-Chen, S., & Van Zomeren, M. (2018). Yes we can? Group efficacy beliefs predict collective action, but only when hope is high. Journal of Experimental Social Psychology, 77, 50–59. https://doi.org/10.1016/j.jesp.2018.03.016",9,S3,Collective action in support of gun control,Individual rights and freedoms,System challenging,Local,Hope was manipulated through possibility: high vs low possibility of reducing gun violence.,Possibility/impossibility of change vignette,,1,,,1,6,4.33,1.06,,scale,1,6,3.26,1.46,1,6,4.36,1.22,published,experimental,experimental,249,37.44,52,panel,1,1,1,1,60,58,Tight cultures,40,48,2018,United States,0.418,74.29,7.96,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,125,3.31,1.41,124,3.22,1.52
Yip (2019),"Yip, L. (2019). Utopian thinking as a strategy to motivate engagement in climate action: Does future likelihood of imagined futures play a role? [Unpublished honour thesis]. Flinders University, Adelaide. ",10,S1,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,0,10,6.06,2.24,,scale,0,10,7.63,2.5,,,,,unpublished,experimental,correlational,520,35.71,61.7,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.17,Hope for social change,intentions,Conventional,Aligned,,,,,,
Yip (2019),"Yip, L. (2019). Utopian thinking as a strategy to motivate engagement in climate action: Does future likelihood of imagined futures play a role? [Unpublished honour thesis]. Flinders University, Adelaide. ",10,S1,Climate change mitigation,Environmental protection,System challenging,Global,,,,,,,0,10,6.06,2.24,,scale,0,10,8.87,1.9,,,,,unpublished,experimental,correlational,520,35.71,61.7,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,0.13,Hope for social change,attitudinal support,Conventional,Aligned,,,,,,
Yip (2019),"Yip, L. (2019). Utopian thinking as a strategy to motivate engagement in climate action: Does future likelihood of imagined futures play a role? [Unpublished honour thesis]. Flinders University, Adelaide. ",10,S1,Climate change mitigation,Environmental protection,System challenging,Global,"Manipulated time referent and desirability by asking participants to think about a desirable future (vs a hanging control who only completed the DVs). Manipulated likelihood by asking participants to imagine a desirable future that is impossible, possible but not likely, or probable. ",Utopian thinking task,1,1,1,,0,10,6.06,2.24,,scale,0,10,7.63,2.5,,,,,unpublished,experimental,experimental,142,35.71,61.7,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for social change,intentions,Conventional,Aligned,69,7.985,2.36,73,7.69,2.6
Yip (2019),"Yip, L. (2019). Utopian thinking as a strategy to motivate engagement in climate action: Does future likelihood of imagined futures play a role? [Unpublished honour thesis]. Flinders University, Adelaide. ",10,S1,Climate change mitigation,Environmental protection,System challenging,Global,"Manipulated time referent and desirability by asking participants to think about a desirable future (vs a hanging control who only completed the DVs). Manipulated likelihood by asking participants to imagine a desirable future that is impossible, possible but not likely, or probable. ",Utopian thinking task,1,1,1,,0,10,6.06,2.24,,scale,0,10,8.87,1.9,,,,,unpublished,experimental,experimental,142,35.71,61.7,panel,1,1,1,1,60,58,Tight cultures,40,48,2019,United States,0.419,73.17,7.96,Flawed democracy,0,,Hope for social change,attitudinal support,Conventional,Aligned,69,9.04,1.68,73,8.8,2.12
Hasan-Aslih et al. (2019),"Hasan-Aslih, S., Pliskin, R., van Zomeren, M., Halperin, E., & Saguy, T. (2019). A darker side of hope: Harmony-focused hope decreases collective action intentions among the disadvantaged. Personality and Social Psychology Bulletin, 45(2), 209–223. https://doi.org/10.1177/0146167218783190",11,S1a,"Palestinian anti-genocide/police brutality protests in 2014, disadvantaged group action",Racial/ethnic equality,System challenging,Local,,,,,,,1,6,3,1.77,,scale,1,6,4.96,1.18,1,6,4.88,1.07,published,correlational,correlational,152,31.6,56.57894737,other convenience,0,0,0,0,,,,,,2019,Palestine,,,3.89,Authoritarian regime,1,-0.19,Hope for harmony,intentions,Conventional,Aligned,,,,,,
